number	fixed	volatile	citric	residual	chlorides	free	total	density	ph	sulphates	alcohol	quality
     346	7	.685	0	1.9	.067	40	63	.9979	3.6	.81	9.9	5
     347	6.6	.815	.02	2.7	.072	17	34	.9955	3.58	.89	12.3	7
     348	13.8	.49	.67	3	.093	6	15	.9986	3.02	.93	12	6
     349	9.6	.56	.31	2.8	.089	15	46	.9979	3.11	.92	10	6
     350	9.1	.785	0	2.6	.093	11	28	.9994	3.36	.86	9.4	6
     351	10.7	.67	.22	2.7	.107	17	34	1.0004	3.28	.98	9.9	6
     352	9.1	.795	0	2.6	.096	11	26	.9994	3.35	.83	9.4	6
     353	7.7	.665	0	2.4	.09	8	19	.9974	3.27	.73	9.3	5
     354	13.5	.53	.79	4.8	.12	23	77	1.0018	3.18	.77	13	5
     355	6.1	.21	.4	1.4	.066	40.5	165	.9912	3.25	.59	11.9	6
     356	6.7	.75	.01	2.4	.078	17	32	.9955	3.55	.61	12.8	6
     357	11.5	.41	.52	3	.08	29	55	1.0001	3.26	.88	11	5
     358	10.5	.42	.66	2.95	.116	12	29	.997	3.24	.75	11.7	7
     359	11.9	.43	.66	3.1	.109	10	23	1	3.15	.85	10.4	7
     360	12.6	.38	.66	2.6	.088	10	41	1.001	3.17	.68	9.8	6
     361	8.2	.7	.23	2	.099	14	81	.9973	3.19	.7	9.4	5
     362	8.6	.45	.31	2.6	.086	21	50	.9982	3.37	.91	9.9	6
     363	11.9	.58	.66	2.5	.072	6	37	.9992	3.05	.56	10	5
     364	12.5	.46	.63	2	.071	6	15	.9988	2.99	.87	10.2	5
     365	12.8	.615	.66	5.8	.083	7	42	1.0022	3.07	.73	10	7
     366	10	.42	.5	3.4	.107	7	21	.9979	3.26	.93	11.8	6
     367	12.8	.615	.66	5.8	.083	7	42	1.0022	3.07	.73	10	7
     368	10.4	.575	.61	2.6	.076	11	24	1	3.16	.69	9	5
     369	10.3	.34	.52	2.8	.159	15	75	.9998	3.18	.64	9.4	5
     370	9.4	.27	.53	2.4	.074	6	18	.9962	3.2	1.13	12	7
     371	6.9	.765	.02	2.3	.063	35	63	.9975	3.57	.78	9.9	5
     372	7.9	.24	.4	1.6	.056	11	25	.9967	3.32	.87	8.7	6
     373	9.1	.28	.48	1.8	.067	26	46	.9967	3.32	1.04	10.6	6
     374	7.4	.55	.22	2.2	.106	12	72	.9959	3.05	.63	9.2	5
     375	14	.41	.63	3.8	.089	6	47	1.0014	3.01	.81	10.8	6
     376	11.5	.54	.71	4.4	.124	6	15	.9984	3.01	.83	11.8	7
     377	11.5	.45	.5	3	.078	19	47	1.0003	3.26	1.11	11	6
     378	9.4	.27	.53	2.4	.074	6	18	.9962	3.2	1.13	12	7
     379	11.4	.625	.66	6.2	.088	6	24	.9988	3.11	.99	13.3	6
     380	8.3	.42	.38	2.5	.094	24	60	.9979	3.31	.7	10.8	6
     381	8.3	.26	.42	2	.08	11	27	.9974	3.21	.8	9.4	6
     382	13.7	.415	.68	2.9	.085	17	43	1.0014	3.06	.8	10	6
     383	8.3	.26	.42	2	.08	11	27	.9974	3.21	.8	9.4	6
     384	8.3	.26	.42	2	.08	11	27	.9974	3.21	.8	9.4	6
     385	7.7	.51	.28	2.1	.087	23	54	.998	3.42	.74	9.2	5
     386	7.4	.63	.07	2.4	.09	11	37	.9979	3.43	.76	9.7	6
     387	7.8	.54	.26	2	.088	23	48	.9981	3.41	.74	9.2	6
     388	8.3	.66	.15	1.9	.079	17	42	.9972	3.31	.54	9.6	6
     389	7.8	.46	.26	1.9	.088	23	53	.9981	3.43	.74	9.2	6
     390	9.6	.38	.31	2.5	.096	16	49	.9982	3.19	.7	10	7
     391	5.6	.85	.05	1.4	.045	12	88	.9924	3.56	.82	12.9	8
     392	13.7	.415	.68	2.9	.085	17	43	1.0014	3.06	.8	10	6
     393	9.5	.37	.52	2	.082	6	26	.998	3.18	.51	9.5	5
     394	8.4	.665	.61	2	.112	13	95	.997	3.16	.54	9.1	5
     395	12.7	.6	.65	2.3	.063	6	25	.9997	3.03	.57	9.9	5
     396	12	.37	.76	4.2	.066	7	38	1.0004	3.22	.6	13	7
     397	6.6	.735	.02	7.9	.122	68	124	.9994	3.47	.53	9.9	5
     398	11.5	.59	.59	2.6	.087	13	49	.9988	3.18	.65	11	6
     399	11.5	.59	.59	2.6	.087	13	49	.9988	3.18	.65	11	6
     400	8.7	.765	.22	2.3	.064	9	42	.9963	3.1	.55	9.4	5
     401	6.6	.735	.02	7.9	.122	68	124	.9994	3.47	.53	9.9	5
     402	7.7	.26	.3	1.7	.059	20	38	.9949	3.29	.47	10.8	6
     403	12.2	.48	.54	2.6	.085	19	64	1	3.1	.61	10.5	6
     404	11.4	.6	.49	2.7	.085	10	41	.9994	3.15	.63	10.5	6
     405	7.7	.69	.05	2.7	.075	15	27	.9974	3.26	.61	9.1	5
     406	8.7	.31	.46	1.4	.059	11	25	.9966	3.36	.76	10.1	6
     407	9.8	.44	.47	2.5	.063	9	28	.9981	3.24	.65	10.8	6
     408	12	.39	.66	3	.093	12	30	.9996	3.18	.63	10.8	7
     409	10.4	.34	.58	3.7	.174	6	16	.997	3.19	.7	11.3	6
     410	12.5	.46	.49	4.5	.07	26	49	.9981	3.05	.57	9.6	4
     411	9	.43	.34	2.5	.08	26	86	.9987	3.38	.62	9.5	6
     412	9.1	.45	.35	2.4	.08	23	78	.9987	3.38	.62	9.5	5
     413	7.1	.735	.16	1.9	.1	15	77	.9966	3.27	.64	9.3	5
     414	9.9	.4	.53	6.7	.097	6	19	.9986	3.27	.82	11.7	7
     415	8.8	.52	.34	2.7	.087	24	122	.9982	3.26	.61	9.5	5
     416	8.6	.725	.24	6.6	.117	31	134	1.0014	3.32	1.07	9.3	5
     417	10.6	.48	.64	2.2	.111	6	20	.997	3.26	.66	11.7	6
     418	7	.58	.12	1.9	.091	34	124	.9956	3.44	.48	10.5	5
     419	11.9	.38	.51	2	.121	7	20	.9996	3.24	.76	10.4	6
     420	6.8	.77	0	1.8	.066	34	52	.9976	3.62	.68	9.9	5
     421	9.5	.56	.33	2.4	.089	35	67	.9972	3.28	.73	11.8	7
     422	6.6	.84	.03	2.3	.059	32	48	.9952	3.52	.56	12.3	7
     423	7.7	.96	.2	2	.047	15	60	.9955	3.36	.44	10.9	5
     424	10.5	.24	.47	2.1	.066	6	24	.9978	3.15	.9	11	7
     425	7.7	.96	.2	2	.047	15	60	.9955	3.36	.44	10.9	5
     426	6.6	.84	.03	2.3	.059	32	48	.9952	3.52	.56	12.3	7
     427	6.4	.67	.08	2.1	.045	19	48	.9949	3.49	.49	11.4	6
     428	9.5	.78	.22	1.9	.077	6	32	.9988	3.26	.56	10.6	6
     429	9.1	.52	.33	1.3	.07	9	30	.9978	3.24	.6	9.3	5
     430	12.8	.84	.63	2.4	.088	13	35	.9997	3.1	.6	10.4	6
     431	10.5	.24	.47	2.1	.066	6	24	.9978	3.15	.9	11	7
     432	7.8	.55	.35	2.2	.074	21	66	.9974	3.25	.56	9.2	5
     433	11.9	.37	.69	2.3	.078	12	24	.9958	3	.65	12.8	6
     434	12.3	.39	.63	2.3	.091	6	18	1.0004	3.16	.49	9.5	5
     435	10.4	.41	.55	3.2	.076	22	54	.9996	3.15	.89	9.9	6
     436	12.3	.39	.63	2.3	.091	6	18	1.0004	3.16	.49	9.5	5
     437	8	.67	.3	2	.06	38	62	.9958	3.26	.56	10.2	6
     438	11.1	.45	.73	3.2	.066	6	22	.9986	3.17	.66	11.2	6
     439	10.4	.41	.55	3.2	.076	22	54	.9996	3.15	.89	9.9	6
     440	7	.62	.18	1.5	.062	7	50	.9951	3.08	.6	9.3	5
     441	12.6	.31	.72	2.2	.072	6	29	.9987	2.88	.82	9.8	8
     442	11.9	.4	.65	2.15	.068	7	27	.9988	3.06	.68	11.3	6
     443	15.6	.685	.76	3.7	.1	6	43	1.0032	2.95	.68	11.2	7
     444	10	.44	.49	2.7	.077	11	19	.9963	3.23	.63	11.6	7
     445	5.3	.57	.01	1.7	.054	5	27	.9934	3.57	.84	12.5	7
     446	9.5	.735	.1	2.1	.079	6	31	.9986	3.23	.56	10.1	6
     447	12.5	.38	.6	2.6	.081	31	72	.9996	3.1	.73	10.5	5
     448	9.3	.48	.29	2.1	.127	6	16	.9968	3.22	.72	11.2	5
     449	8.6	.53	.22	2	.1	7	27	.9967	3.2	.56	10.2	6
     450	11.9	.39	.69	2.8	.095	17	35	.9994	3.1	.61	10.8	6
     451	11.9	.39	.69	2.8	.095	17	35	.9994	3.1	.61	10.8	6
     452	8.4	.37	.53	1.8	.413	9	26	.9979	3.06	1.06	9.1	6
     453	6.8	.56	.03	1.7	.084	18	35	.9968	3.44	.63	10	6
     454	10.4	.33	.63	2.8	.084	5	22	.9998	3.26	.74	11.2	7
     455	7	.23	.4	1.6	.063	21	67	.9952	3.5	.63	11.1	5
     456	11.3	.62	.67	5.2	.086	6	19	.9988	3.22	.69	13.4	8
     457	8.9	.59	.39	2.3	.095	5	22	.9986	3.37	.58	10.3	5
     458	9.2	.63	.21	2.7	.097	29	65	.9988	3.28	.58	9.6	5
     459	10.4	.33	.63	2.8	.084	5	22	.9998	3.26	.74	11.2	7
     460	11.6	.58	.66	2.2	.074	10	47	1.0008	3.25	.57	9	3
     461	9.2	.43	.52	2.3	.083	14	23	.9976	3.35	.61	11.3	6
     462	8.3	.615	.22	2.6	.087	6	19	.9982	3.26	.61	9.3	5
     463	11	.26	.68	2.55	.085	10	25	.997	3.18	.61	11.8	5
     464	8.1	.66	.7	2.2	.098	25	129	.9972	3.08	.53	9	5
     465	11.5	.315	.54	2.1	.084	5	15	.9987	2.98	.7	9.2	6
     466	10	.29	.4	2.9	.098	10	26	1.0006	3.48	.91	9.7	5
     467	10.3	.5	.42	2	.069	21	51	.9982	3.16	.72	11.5	6
     468	8.8	.46	.45	2.6	.065	7	18	.9947	3.32	.79	14	6
     469	11.4	.36	.69	2.1	.09	6	21	1	3.17	.62	9.2	6
     470	8.7	.82	.02	1.2	.07	36	48	.9952	3.2	.58	9.8	5
     471	13	.32	.65	2.6	.093	15	47	.9996	3.05	.61	10.6	5
     472	9.6	.54	.42	2.4	.081	25	52	.997	3.2	.71	11.4	6
     473	12.5	.37	.55	2.6	.083	25	68	.9995	3.15	.82	10.4	6
     474	9.9	.35	.55	2.1	.062	5	14	.9971	3.26	.79	10.6	5
     475	10.5	.28	.51	1.7	.08	10	24	.9982	3.2	.89	9.4	6
     476	9.6	.68	.24	2.2	.087	5	28	.9988	3.14	.6	10.2	5
     477	9.3	.27	.41	2	.091	6	16	.998	3.28	.7	9.7	5
     478	10.4	.24	.49	1.8	.075	6	20	.9977	3.18	1.06	11	6
     479	9.6	.68	.24	2.2	.087	5	28	.9988	3.14	.6	10.2	5
     480	9.4	.685	.11	2.7	.077	6	31	.9984	3.19	.7	10.1	6
     481	10.6	.28	.39	15.5	.069	6	23	1.0026	3.12	.66	9.2	5
     482	9.4	.3	.56	2.8	.08	6	17	.9964	3.15	.92	11.7	8
     483	10.6	.36	.59	2.2	.152	6	18	.9986	3.04	1.05	9.4	5
     484	10.6	.36	.6	2.2	.152	7	18	.9986	3.04	1.06	9.4	5
     485	10.6	.44	.68	4.1	.114	6	24	.997	3.06	.66	13.4	6
     486	10.2	.67	.39	1.9	.054	6	17	.9976	3.17	.47	10	5
     487	10.2	.67	.39	1.9	.054	6	17	.9976	3.17	.47	10	5
     488	10.2	.645	.36	1.8	.053	5	14	.9982	3.17	.42	10	6
     489	11.6	.32	.55	2.8	.081	35	67	1.0002	3.32	.92	10.8	7
     490	9.3	.39	.4	2.6	.073	10	26	.9984	3.34	.75	10.2	6
     491	9.3	.775	.27	2.8	.078	24	56	.9984	3.31	.67	10.6	6
     492	9.2	.41	.5	2.5	.055	12	25	.9952	3.34	.79	13.3	7
     493	8.9	.4	.51	2.6	.052	13	27	.995	3.32	.9	13.4	7
     494	8.7	.69	.31	3	.086	23	81	1.0002	3.48	.74	11.6	6
     495	6.5	.39	.23	8.3	.051	28	91	.9952	3.44	.55	12.1	6
     496	10.7	.35	.53	2.6	.07	5	16	.9972	3.15	.65	11	8
     497	7.8	.52	.25	1.9	.081	14	38	.9984	3.43	.65	9	6
     498	7.2	.34	.32	2.5	.09	43	113	.9966	3.32	.79	11.1	5
     499	10.7	.35	.53	2.6	.07	5	16	.9972	3.15	.65	11	8
     500	8.7	.69	.31	3	.086	23	81	1.0002	3.48	.74	11.6	6
     501	7.8	.52	.25	1.9	.081	14	38	.9984	3.43	.65	9	6
     502	10.4	.44	.73	6.55	.074	38	76	.999	3.17	.85	12	7
     503	10.4	.44	.73	6.55	.074	38	76	.999	3.17	.85	12	7
     504	10.5	.26	.47	1.9	.078	6	24	.9976	3.18	1.04	10.9	7
     505	10.5	.24	.42	1.8	.077	6	22	.9976	3.21	1.05	10.8	7
     506	10.2	.49	.63	2.9	.072	10	26	.9968	3.16	.78	12.5	7
     507	10.4	.24	.46	1.8	.075	6	21	.9976	3.25	1.02	10.8	7
     508	11.2	.67	.55	2.3	.084	6	13	1	3.17	.71	9.5	6
     509	10	.59	.31	2.2	.09	26	62	.9994	3.18	.63	10.2	6
     510	13.3	.29	.75	2.8	.084	23	43	.9986	3.04	.68	11.4	7
     511	12.4	.42	.49	4.6	.073	19	43	.9978	3.02	.61	9.5	5
     512	10	.59	.31	2.2	.09	26	62	.9994	3.18	.63	10.2	6
     513	10.7	.4	.48	2.1	.125	15	49	.998	3.03	.81	9.7	6
     514	10.5	.51	.64	2.4	.107	6	15	.9973	3.09	.66	11.8	7
     515	10.5	.51	.64	2.4	.107	6	15	.9973	3.09	.66	11.8	7
     516	8.5	.655	.49	6.1	.122	34	151	1.001	3.31	1.14	9.3	5
     517	12.5	.6	.49	4.3	.1	5	14	1.001	3.25	.74	11.9	6
     518	10.4	.61	.49	2.1	.2	5	16	.9994	3.16	.63	8.4	3
     519	10.9	.21	.49	2.8	.088	11	32	.9972	3.22	.68	11.7	6
     520	7.3	.365	.49	2.5	.088	39	106	.9966	3.36	.78	11	5
     521	9.8	.25	.49	2.7	.088	15	33	.9982	3.42	.9	10	6
     522	7.6	.41	.49	2	.088	16	43	.998	3.48	.64	9.1	5
     523	8.2	.39	.49	2.3	.099	47	133	.9979	3.38	.99	9.8	5
     524	9.3	.4	.49	2.5	.085	38	142	.9978	3.22	.55	9.4	5
     525	9.2	.43	.49	2.4	.086	23	116	.9976	3.23	.64	9.5	5
     526	10.4	.64	.24	2.8	.105	29	53	.9998	3.24	.67	9.9	5
     527	7.3	.365	.49	2.5	.088	39	106	.9966	3.36	.78	11	5
     528	7	.38	.49	2.5	.097	33	85	.9962	3.39	.77	11.4	6
     529	8.2	.42	.49	2.6	.084	32	55	.9988	3.34	.75	8.7	6
     530	9.9	.63	.24	2.4	.077	6	33	.9974	3.09	.57	9.4	5
     531	9.1	.22	.24	2.1	.078	1	28	.999	3.41	.87	10.3	6
     532	11.9	.38	.49	2.7	.098	12	42	1.0004	3.16	.61	10.3	5
     533	11.9	.38	.49	2.7	.098	12	42	1.0004	3.16	.61	10.3	5
     534	10.3	.27	.24	2.1	.072	15	33	.9956	3.22	.66	12.8	6
     535	10	.48	.24	2.7	.102	13	32	1	3.28	.56	10	6
     536	9.1	.22	.24	2.1	.078	1	28	.999	3.41	.87	10.3	6
     537	9.9	.63	.24	2.4	.077	6	33	.9974	3.09	.57	9.4	5
     538	8.1	.825	.24	2.1	.084	5	13	.9972	3.37	.77	10.7	6
     539	12.9	.35	.49	5.8	.066	5	35	1.0014	3.2	.66	12	7
     540	11.2	.5	.74	5.15	.1	5	17	.9996	3.22	.62	11.2	5
     541	9.2	.59	.24	3.3	.101	20	47	.9988	3.26	.67	9.6	5
     542	9.5	.46	.49	6.3	.064	5	17	.9988	3.21	.73	11	6
     543	9.3	.715	.24	2.1	.07	5	20	.9966	3.12	.59	9.9	5
     544	11.2	.66	.24	2.5	.085	16	53	.9993	3.06	.72	11	6
     545	14.3	.31	.74	1.8	.075	6	15	1.0008	2.86	.79	8.4	6
     546	9.1	.47	.49	2.6	.094	38	106	.9982	3.08	.59	9.1	5
     547	7.5	.55	.24	2	.078	10	28	.9983	3.45	.78	9.5	6
     548	10.6	.31	.49	2.5	.067	6	21	.9987	3.26	.86	10.7	6
     549	12.4	.35	.49	2.6	.079	27	69	.9994	3.12	.75	10.4	6
     550	9	.53	.49	1.9	.171	6	25	.9975	3.27	.61	9.4	6
     551	6.8	.51	.01	2.1	.074	9	25	.9958	3.33	.56	9.5	6
     552	9.4	.43	.24	2.8	.092	14	45	.998	3.19	.73	10	6
     553	9.5	.46	.24	2.7	.092	14	44	.998	3.12	.74	10	6
     554	5	1.04	.24	1.6	.05	32	96	.9934	3.74	.62	11.5	5
     555	15.5	.645	.49	4.2	.095	10	23	1.00315	2.92	.74	11.1	5
     556	15.5	.645	.49	4.2	.095	10	23	1.00315	2.92	.74	11.1	5
     557	10.9	.53	.49	4.6	.118	10	17	1.0002	3.07	.56	11.7	6
     558	15.6	.645	.49	4.2	.095	10	23	1.00315	2.92	.74	11.1	5
     559	10.9	.53	.49	4.6	.118	10	17	1.0002	3.07	.56	11.7	6
     560	13	.47	.49	4.3	.085	6	47	1.0021	3.3	.68	12.7	6
     561	12.7	.6	.49	2.8	.075	5	19	.9994	3.14	.57	11.4	5
     562	9	.44	.49	2.4	.078	26	121	.9978	3.23	.58	9.2	5
     563	9	.54	.49	2.9	.094	41	110	.9982	3.08	.61	9.2	5
     564	7.6	.29	.49	2.7	.092	25	60	.9971	3.31	.61	10.1	6
     565	13	.47	.49	4.3	.085	6	47	1.0021	3.3	.68	12.7	6
     566	12.7	.6	.49	2.8	.075	5	19	.9994	3.14	.57	11.4	5
     567	8.7	.7	.24	2.5	.226	5	15	.9991	3.32	.6	9	6
     568	8.7	.7	.24	2.5	.226	5	15	.9991	3.32	.6	9	6
     569	9.8	.5	.49	2.6	.25	5	20	.999	3.31	.79	10.7	6
     570	6.2	.36	.24	2.2	.095	19	42	.9946	3.57	.57	11.7	6
     571	11.5	.35	.49	3.3	.07	10	37	1.0003	3.32	.91	11	6
     572	6.2	.36	.24	2.2	.095	19	42	.9946	3.57	.57	11.7	6
     573	10.2	.24	.49	2.4	.075	10	28	.9978	3.14	.61	10.4	5
     574	10.5	.59	.49	2.1	.07	14	47	.9991	3.3	.56	9.6	4
     575	10.6	.34	.49	3.2	.078	20	78	.9992	3.19	.7	10	6
     576	12.3	.27	.49	3.1	.079	28	46	.9993	3.2	.8	10.2	6
     577	9.9	.5	.24	2.3	.103	6	14	.9978	3.34	.52	10	4
     578	8.8	.44	.49	2.8	.083	18	111	.9982	3.3	.6	9.5	5
     579	8.8	.47	.49	2.9	.085	17	110	.9982	3.29	.6	9.8	5
     580	10.6	.31	.49	2.2	.063	18	40	.9976	3.14	.51	9.8	6
     581	12.3	.5	.49	2.2	.089	5	14	1.0002	3.19	.44	9.6	5
     582	12.3	.5	.49	2.2	.089	5	14	1.0002	3.19	.44	9.6	5
     583	11.7	.49	.49	2.2	.083	5	15	1	3.19	.43	9.2	5
     584	12	.28	.49	1.9	.074	10	21	.9976	2.98	.66	9.9	7
     585	11.8	.33	.49	3.4	.093	54	80	1.0002	3.3	.76	10.7	7
     586	7.6	.51	.24	2.4	.091	8	38	.998	3.47	.66	9.6	6
     587	11.1	.31	.49	2.7	.094	16	47	.9986	3.12	1.02	10.6	7
     588	7.3	.73	.24	1.9	.108	18	102	.9967	3.26	.59	9.3	5
     589	5	.42	.24	2	.06	19	50	.9917	3.72	.74	14	8
     590	10.2	.29	.49	2.6	.059	5	13	.9976	3.05	.74	10.5	7
     591	9	.45	.49	2.6	.084	21	75	.9987	3.35	.57	9.7	5
     592	6.6	.39	.49	1.7	.07	23	149	.9922	3.12	.5	11.5	6
     593	9	.45	.49	2.6	.084	21	75	.9987	3.35	.57	9.7	5
     594	9.9	.49	.58	3.5	.094	9	43	1.0004	3.29	.58	9	5
     595	7.9	.72	.17	2.6	.096	20	38	.9978	3.4	.53	9.5	5
     596	8.9	.595	.41	7.9	.086	30	109	.9998	3.27	.57	9.3	5
     597	12.4	.4	.51	2	.059	6	24	.9994	3.04	.6	9.3	6
     598	11.9	.58	.58	1.9	.071	5	18	.998	3.09	.63	10	6
     599	8.5	.585	.18	2.1	.078	5	30	.9967	3.2	.48	9.8	6
     600	12.7	.59	.45	2.3	.082	11	22	1	3	.7	9.3	6
     601	8.2	.915	.27	2.1	.088	7	23	.9962	3.26	.47	10	4
     602	13.2	.46	.52	2.2	.071	12	35	1.0006	3.1	.56	9	6
     603	7.7	.835	0	2.6	.081	6	14	.9975	3.3	.52	9.3	5
     604	13.2	.46	.52	2.2	.071	12	35	1.0006	3.1	.56	9	6
     605	8.3	.58	.13	2.9	.096	14	63	.9984	3.17	.62	9.1	6
     606	8.3	.6	.13	2.6	.085	6	24	.9984	3.31	.59	9.2	6
     607	9.4	.41	.48	4.6	.072	10	20	.9973	3.34	.79	12.2	7
     608	8.8	.48	.41	3.3	.092	26	52	.9982	3.31	.53	10.5	6
     609	10.1	.65	.37	5.1	.11	11	65	1.0026	3.32	.64	10.4	6
     610	6.3	.36	.19	3.2	.075	15	39	.9956	3.56	.52	12.7	6
     611	8.8	.24	.54	2.5	.083	25	57	.9983	3.39	.54	9.2	5
     612	13.2	.38	.55	2.7	.081	5	16	1.0006	2.98	.54	9.4	5
     613	7.5	.64	0	2.4	.077	18	29	.9965	3.32	.6	10	6
     614	8.2	.39	.38	1.5	.058	10	29	.9962	3.26	.74	9.8	5
     615	9.2	.755	.18	2.2	.148	10	103	.9969	2.87	1.36	10.2	6
     616	9.6	.6	.5	2.3	.079	28	71	.9997	3.5	.57	9.7	5
     617	9.6	.6	.5	2.3	.079	28	71	.9997	3.5	.57	9.7	5
     618	11.5	.31	.51	2.2	.079	14	28	.9982	3.03	.93	9.8	6
     619	11.4	.46	.5	2.7	.122	4	17	1.0006	3.13	.7	10.2	5
     620	11.3	.37	.41	2.3	.088	6	16	.9988	3.09	.8	9.3	5
     621	8.3	.54	.24	3.4	.076	16	112	.9976	3.27	.61	9.4	5
     622	8.2	.56	.23	3.4	.078	14	104	.9976	3.28	.62	9.4	5
     623	10	.58	.22	1.9	.08	9	32	.9974	3.13	.55	9.5	5
     624	7.9	.51	.25	2.9	.077	21	45	.9974	3.49	.96	12.1	6
     625	6.8	.69	0	5.6	.124	21	58	.9997	3.46	.72	10.2	5
     626	6.8	.69	0	5.6	.124	21	58	.9997	3.46	.72	10.2	5
     627	8.8	.6	.29	2.2	.098	5	15	.9988	3.36	.49	9.1	5
     628	8.8	.6	.29	2.2	.098	5	15	.9988	3.36	.49	9.1	5
     629	8.7	.54	.26	2.5	.097	7	31	.9976	3.27	.6	9.3	6
     630	7.6	.685	.23	2.3	.111	20	84	.9964	3.21	.61	9.3	5
     631	8.7	.54	.26	2.5	.097	7	31	.9976	3.27	.6	9.3	6
     632	10.4	.28	.54	2.7	.105	5	19	.9988	3.25	.63	9.5	5
     633	7.6	.41	.14	3	.087	21	43	.9964	3.32	.57	10.5	6
     634	10.1	.935	.22	3.4	.105	11	86	1.001	3.43	.64	11.3	4
     635	7.9	.35	.21	1.9	.073	46	102	.9964	3.27	.58	9.5	5
     636	8.7	.84	0	1.4	.065	24	33	.9954	3.27	.55	9.7	5
     637	9.6	.88	.28	2.4	.086	30	147	.9979	3.24	.53	9.4	5
     638	9.5	.885	.27	2.3	.084	31	145	.9978	3.24	.53	9.4	5
     639	7.7	.915	.12	2.2	.143	7	23	.9964	3.35	.65	10.2	7
     640	8.9	.29	.35	1.9	.067	25	57	.997	3.18	1.36	10.3	6
     641	9.9	.54	.45	2.3	.071	16	40	.9991	3.39	.62	9.4	5
     642	9.5	.59	.44	2.3	.071	21	68	.9992	3.46	.63	9.5	5
     643	9.9	.54	.45	2.3	.071	16	40	.9991	3.39	.62	9.4	5
     644	9.5	.59	.44	2.3	.071	21	68	.9992	3.46	.63	9.5	5
     645	9.9	.54	.45	2.3	.071	16	40	.9991	3.39	.62	9.4	5
     646	7.8	.64	.1	6	.115	5	11	.9984	3.37	.69	10.1	7
     647	7.3	.67	.05	3.6	.107	6	20	.9972	3.4	.63	10.1	5
     648	8.3	.845	.01	2.2	.07	5	14	.9967	3.32	.58	11	4
     649	8.7	.48	.3	2.8	.066	10	28	.9964	3.33	.67	11.2	7
     650	6.7	.42	.27	8.6	.068	24	148	.9948	3.16	.57	11.3	6
     651	10.7	.43	.39	2.2	.106	8	32	.9986	2.89	.5	9.6	5
     652	9.8	.88	.25	2.5	.104	35	155	1.001	3.41	.67	11.2	5
     653	15.9	.36	.65	7.5	.096	22	71	.9976	2.98	.84	14.9	5
     654	9.4	.33	.59	2.8	.079	9	30	.9976	3.12	.54	12	6
     655	8.6	.47	.47	2.4	.074	7	29	.9979	3.08	.46	9.5	5
     656	9.7	.55	.17	2.9	.087	20	53	1.0004	3.14	.61	9.4	5
     657	10.7	.43	.39	2.2	.106	8	32	.9986	2.89	.5	9.6	5
     658	12	.5	.59	1.4	.073	23	42	.998	2.92	.68	10.5	7
     659	7.2	.52	.07	1.4	.074	5	20	.9973	3.32	.81	9.6	6
     660	7.1	.84	.02	4.4	.096	5	13	.997	3.41	.57	11	4
     661	7.2	.52	.07	1.4	.074	5	20	.9973	3.32	.81	9.6	6
     662	7.5	.42	.31	1.6	.08	15	42	.9978	3.31	.64	9	5
     663	7.2	.57	.06	1.6	.076	9	27	.9972	3.36	.7	9.6	6
     664	10.1	.28	.46	1.8	.05	5	13	.9974	3.04	.79	10.2	6
     665	12.1	.4	.52	2	.092	15	54	1	3.03	.66	10.2	5
     666	9.4	.59	.14	2	.084	25	48	.9981	3.14	.56	9.7	5
     667	8.3	.49	.36	1.8	.222	6	16	.998	3.18	.6	9.5	6
     668	11.3	.34	.45	2	.082	6	15	.9988	2.94	.66	9.2	6
     669	10	.73	.43	2.3	.059	15	31	.9966	3.15	.57	11	5
     670	11.3	.34	.45	2	.082	6	15	.9988	2.94	.66	9.2	6
     671	6.9	.4	.24	2.5	.083	30	45	.9959	3.26	.58	10	5
     672	8.2	.73	.21	1.7	.074	5	13	.9968	3.2	.52	9.5	5
     673	9.8	1.24	.34	2	.079	32	151	.998	3.15	.53	9.5	5
     674	8.2	.73	.21	1.7	.074	5	13	.9968	3.2	.52	9.5	5
     675	10.8	.4	.41	2.2	.084	7	17	.9984	3.08	.67	9.3	6
     676	9.3	.41	.39	2.2	.064	12	31	.9984	3.26	.65	10.2	5
     677	10.8	.4	.41	2.2	.084	7	17	.9984	3.08	.67	9.3	6
     678	8.6	.8	.11	2.3	.084	12	31	.9979	3.4	.48	9.9	5
     679	8.3	.78	.1	2.6	.081	45	87	.9983	3.48	.53	10	5
     680	10.8	.26	.45	3.3	.06	20	49	.9972	3.13	.54	9.6	5
     681	13.3	.43	.58	1.9	.07	15	40	1.0004	3.06	.49	9	5
     682	8	.45	.23	2.2	.094	16	29	.9962	3.21	.49	10.2	6
     683	8.5	.46	.31	2.25	.078	32	58	.998	3.33	.54	9.8	5
     684	8.1	.78	.23	2.6	.059	5	15	.997	3.37	.56	11.3	5
     685	9.8	.98	.32	2.3	.078	35	152	.998	3.25	.48	9.4	5
     686	8.1	.78	.23	2.6	.059	5	15	.997	3.37	.56	11.3	5
     687	7.1	.65	.18	1.8	.07	13	40	.997	3.44	.6	9.1	5
     688	9.1	.64	.23	3.1	.095	13	38	.9998	3.28	.59	9.7	5
     689	7.7	.66	.04	1.6	.039	4	9	.9962	3.4	.47	9.4	5
     690	8.1	.38	.48	1.8	.157	5	17	.9976	3.3	1.05	9.4	5
     691	7.4	1.185	0	4.25	.097	5	14	.9966	3.63	.54	10.7	3
